Epoch, l_theta, l_f, l_top, l_bottom
29, 3.9043389851074036e-05, 5.570317320981537e-06, 2.096022025420665e-05, 0.7303297737202211
30, 3.885206222438344e-05, 5.683745358035415e-06, 2.0919028506411428e-05, 0.7277421205353807
31, 3.8839484233798816e-05, 5.6493564216287134e-06, 2.0924193392281276e-05, 0.7274983926895618
32, 3.884262858011204e-05, 5.611286664827483e-06, 2.0923570918148118e-05, 0.7273875821688656
33, 3.88395048664436e-05, 5.586936403984622e-06, 2.0915844950147822e-05, 0.7271693257886879
34, 3.878035755124075e-05, 5.544853657915535e-06, 2.0872996527744688e-05, 0.7258046316997302
35, 3.867256122912783e-05, 5.541049483680029e-06, 2.082079925955843e-05, 0.7241868006089249
36, 3.8511374974963804e-05, 5.593411825092247e-06, 2.0760611819596618e-05, 0.7223718850797912
37, 3.8372020211281804e-05, 5.6492735363171e-06, 2.072694599050614e-05, 0.7214488314735541
38, 3.8144723727510646e-05, 5.754334142831034e-06, 2.0683407224770128e-05, 0.720435339395366
39, 3.7840595744102253e-05, 5.876246107848122e-06, 2.0614589848611665e-05, 0.7195084795422122
40, 3.744283140246569e-05, 6.042040750567599e-06, 2.05157882621722e-05, 0.7188622579159393
41, 3.729639582573643e-05, 6.063822487901403e-06, 2.04609751517442e-05, 0.7190479012202593
42, 3.7214592741294496e-05, 6.043818097147077e-06, 2.0409958154377878e-05, 0.719017058314549
43, 3.72144656008531e-05, 5.9746737493785815e-06, 2.0376550785151553e-05, 0.7193407273204512
44, 3.7099840775006845e-05, 5.9958588353928915e-06, 2.0307603853086268e-05, 0.7187140435519438
45, 3.709632714429439e-05, 5.913135899772713e-06, 2.025859623647552e-05, 0.7196867981817627
46, 3.6921761102623675e-05, 6.024813511634613e-06, 2.020833083215431e-05, 0.7187285464453522
47, 3.6792529793489945e-05, 6.102840729736282e-06, 2.018698784292232e-05, 0.7183842089933967
48, 3.654854501481035e-05, 6.1905470923199925e-06, 2.0106347471452717e-05, 0.7183401559434816
49, 3.5621228807223836e-05, 6.730770948429412e-06, 1.9781936886899145e-05, 0.7200760986364818
50, 3.54707228542841e-05, 6.74502908975623e-06, 1.970234760938359e-05, 0.7226752372082629
51, 3.5405871392818665e-05, 6.760680821958508e-06, 1.9668883055687487e-05, 0.7229062062153472
52, 3.538511551280842e-05, 6.738413769764478e-06, 1.9652252606931453e-05, 0.7234850475025008
53, 3.5272870498727026e-05, 6.7840473945322505e-06, 1.9613768067980856e-05, 0.7239506088047929
54, 3.497328092039853e-05, 6.908340554131014e-06, 1.9519596023032243e-05, 0.7254635169896433
55, 3.475283280636892e-05, 6.995001775065578e-06, 1.9454499530819673e-05, 0.7268113794657552
56, 3.43971552478202e-05, 7.19102795020217e-06, 1.9353420416988558e-05, 0.7277927596665066
57, 3.4370738081722156e-05, 7.14933590310465e-06, 1.933457632634965e-05, 0.7290072833464389
58, 3.431606461620456e-05, 7.15983406096682e-06, 1.9323849279686925e-05, 0.7285229984019461
59, 3.4299541733256586e-05, 7.140813578077997e-06, 1.9309687580896026e-05, 0.7280230424122804
60, 3.424812405957885e-05, 7.146916936331573e-06, 1.9288516258871047e-05, 0.7277529357230411
61, 3.388057112188986e-05, 7.397222030982631e-06, 1.913257910634575e-05, 0.7262970368606909
62, 3.3684049921431096e-05, 7.484117357951072e-06, 1.90685439493528e-05, 0.7270120338972362
63, 3.364205195168237e-05, 7.442672723635456e-06, 1.9057352780175478e-05, 0.7269278168958927
